let WebInput = `Nr,Sted,År,Inndeling,Rnr,Region,Fnr,Fylke,Sum of Antall personer 6-15,Sum of Folkemengde,Kunstnertetthet,Kunstnermangfold,SKS tildelinger,Kulturformidling,Kunstnerisk Produksjon,Media,Kommunale Midler,Total Besøk,Betalende Besøk,TONO Arrangemanger,TONO Avregning,Billettselskap Arrangemanger,Billettselskap Omsettning,Filmfremvisninger,Kinobesøk,Mangfold filmframvisniger,Mangfold kinobesøk,Utlån,Besøk,Voksne aktive lånere,Teater Forestillinger,Teater Publikum,Dans Forestillinger,Timer,Mangfold Timer,Elever,Publikum,Mangfold Publikum,Frifond,Riksantikvar og Kulturminnefond,Statsbudsjett og Kulturråd,Historielag,Husflidlag,Kor,Korps,MVA Refusjon,Voksenopplæring
805,Porsgrunn,2012,Kommune,3027,Grenland,8,Telemark,4181,35392,2,144,19.6,1.7,1.9,2.4,220.7,0.2,0,1.6,3.3,2.1,225.5,156.4,3.5,13,26,4.4,4.5,153.2,0.7,0.1,0.2,2.5,165,0.2,7,8,2.3,0,156.8,0,2.4,14.4,15.3,5.8,12.2
805,Porsgrunn,2013,Kommune,3027,Grenland,8,Telemark,4155,35516,2.1,130,23.3,1.9,1.9,2.4,33,0.2,0,2.3,3.7,2.1,224.7,154.9,3.4,4,18,4.4,4.9,153.3,7.4,1.1,0.3,2.2,198,0.2,8,8,2.8,7.6,162.6,0,1.1,11,14.4,7.9,12.2
805,Porsgrunn,2014,Kommune,3027,Grenland,8,Telemark,4179,35755,2.1,148,29.8,1.8,1.8,2.5,32.7,0.3,0,2.3,3.7,2.1,223.2,154.2,3.4,8,17,4.4,4.9,150.4,5.9,1,0.4,2.2,191,0.2,7.1,32,3.4,12.8,12.6,0,1.1,11.7,11.4,11.1,12.1
805,Porsgrunn,2015,Kommune,3027,Grenland,8,Telemark,4162,35955,2.1,154,19.2,1.6,1.3,2,31.8,0.3,0.3,0,0,1.8,184.7,153.7,3.6,14,27,4.1,4.3,124.9,5.5,0.9,0.5,2.1,217,0.2,6.7,16,1.9,16.5,38.5,0,1,10.5,11.7,9.1,10.7
806,Skien,2012,Kommune,3027,Grenland,8,Telemark,6301,53015,2.4,89,16.5,3.5,1.9,3.2,44.4,1.3,0.1,2.3,9.3,1.8,229.3,102.2,2.2,45,66,4.2,0,108.5,2.3,0.2,0.2,1.3,278,0.1,7,9,1.1,7.4,5.8,0,2,11.2,10.5,4,10
806,Skien,2013,Kommune,3027,Grenland,8,Telemark,6252,53439,2.2,114,27.8,3.3,2,3.1,44.9,1.5,0.1,4.3,7.7,1.8,227.5,106,2.2,38,47,3.5,3.2,101.6,1.7,0.2,0.3,1.4,260,0.1,7.1,7,2.1,16.7,7.5,0,3.3,11.1,10.2,7,9.9
806,Skien,2014,Kommune,3027,Grenland,8,Telemark,6258,53745,2.3,115,27.5,2.9,2,2.9,0.1,1.4,0.2,4.3,7.7,1.7,226.2,107.4,2.1,35,53,3.3,2.5,94.7,2.1,0.3,0.1,1.5,258,0.1,7.5,16,2.2,10.9,27.2,0,3.4,11.3,10.9,8.9,9.8
806,Skien,2015,Kommune,3027,Grenland,8,Telemark,6298,53952,2.4,99,29.4,3,1.6,2.3,0,1.6,0.4,0,0,1.6,245.4,99.3,2,45,73,3.4,2.8,96.3,2.7,0.4,0,1.6,274,0.1,8,4,1.4,52.2,22.1,0,4.7,13.3,10.6,9.5,8.4
807,Notodden,2012,Kommune,3029,Øst-Telemark,8,Telemark,1427,12497,3.4,31,16.2,2.9,1.7,2.2,0,0.4,0.3,9.6,27.4,5.3,694.5,45.8,1.7,98,85,5.1,4.3,149.9,1,0.1,0,2.7,134,0.2,4.7,173,0.6,14.5,327,3.6,5.8,22.5,6.6,2.9,20.4
807,Notodden,2013,Kommune,3029,Øst-Telemark,8,Telemark,1436,12609,3.5,35,17.9,2.6,1.7,1.8,27.6,0.4,0,9.4,26.6,5.2,688.4,48.9,1.6,107,86,4,3.7,134,0.7,0.1,0,3.1,174,0.2,7.3,13,1,92.1,327.4,3.6,8,22,5.6,6.5,20.2
807,Notodden,2014,Kommune,3029,Øst-Telemark,8,Telemark,1456,12599,4,25,23.7,3,1.4,1.7,23.5,0.6,0.1,9.4,26.6,5.2,688.9,127.9,2.6,35,35,6.1,13.3,194.9,0.8,0.1,0,3.4,159,0.2,5.7,228,0.7,67.5,337.1,3.6,8.3,19.6,4.1,5.4,20.2
807,Notodden,2015,Kommune,3029,Øst-Telemark,8,Telemark,1459,12717,3.5,37,7.1,3.4,0.9,1.7,112.1,1.5,0.9,0,0,3.4,145.4,134.5,2.5,31,55,5.4,11.9,181.4,0.9,0.1,0,2.4,296,0.2,6.4,24,3.6,316.1,213.7,3.5,8.6,17.1,4.5,9.8,21.9
811,Siljan,2012,Kommune,3027,Grenland,8,Telemark,311,2426,2.5,195,4.1,2.1,1.2,0,0,0,0,0,4.3,1.2,155.4,0,0,282,282,4.6,0,96.9,0,0,0,1.6,407,0.1,9.4,1,0,0,0,57.3,2.5,4.9,11.5,5.2,0
